Country,Mitigation_Potential(GtCO2e),Mitigation_Cost($/GtCO2e),Mitigation_Potential(GtCO2e)_at_50,Mitigation_Potential(GtCO2e)_at_100,Mitigation_Potential(GtCO2e)_at_200
SG,0.8,1266,0,0,0
ID,2592,339,900,900,1440
MY,33,30,33,35,60
KH,77,282,0,19,29
LA,44,15,44,50,60
BN,53,11,53,60,70
PH,580,907,72,322,386
TH,1120,241,672,672,672
VN,927,283,210,415,614
AU,100,20,100,110,150
IN,234,5,234,250,300
MM,172,196,0,0,98
