country_1,country_2,country_3,country_4,Mitigation_Potential(MtCO2e),Mitigation_Cost($/tCO2e),Mitigation_Potential_at_0($/tCO2e),Mitigation_Potential_at_10($/tCO2e),Mitigation_Potential_at_20($/tCO2e),Mitigation_Potential_at_50($/tCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e),BAU_Emissions(MtCO2e)
KE,ZA,EG,NG,812.0120531251406,-11.972366514753585,693.7397217410083,693.7397217410083,708.5512132973269,730.9634717265114,812.0120531251406,812.0120531251406,812.0120531251406,812.0120531251406,812.2531814549855
KH,,,,24.751910682988814,59.6626189905021,15.785244030262929,17.060011833912924,17.318577350239444,18.341994971643654,20.905961254351666,20.905961254351666,22.27671933224764,23.46992754054998,24.751910682988814
KH,TH,,,296.40021946044095,19.768008658119015,221.5478039531123,230.90433600722588,240.26088830045873,249.6174435301669,287.0436642357601,287.0436642357601,296.40021946044095,296.40021946044095,296.40021946044095
KH,TH,LA,,303.00679328768746,19.745162482779474,226.13609157560654,235.74488735682166,245.35373013627057,254.96257396014113,293.397949427512,293.397949427512,303.00679328768746,303.00679328768746,303.00679328768746
KH,TH,VN,,648.989279184343,17.204383953187953,490.40990760007674,510.23184232605234,530.0543313798777,569.6993134819695,629.1667877320118,629.1667877320118,648.989279184343,648.989279184343,648.989279184343
KH,TH,VN,LA,655.5958530115895,17.21963241926268,494.99821284220155,515.0723958014765,535.147172790696,575.2967326088083,635.5210729236359,635.5210729236359,655.5958530115895,655.5958530115895,655.5958530115895
KH,VN,LA,,383.94754423413735,17.988493218739674,289.22832435560144,301.0678237903885,312.9077835818325,324.74774365237494,360.26762401592845,372.1075841151239,383.94754423413735,383.94754423413735,383.94754423413735
KR,,,,316.143506610318,29.84376306727487,204.1005179711684,220.10665618142315,220.10665618142315,236.1127979151435,284.5291559504357,300.1373648704443,300.1373648704443,316.143506610318,316.1435066103314
KR,CL,,,375.56433831560554,13.520904114334382,261.04302591676804,262.9097307404272,277.4069036392295,293.76978431955513,359.21609558103324,359.21609558103324,375.56433831560554,375.56433831560554,375.5856406332149
KR,EG,,,571.8454279121798,34.16420438928794,436.8332711728136,453.8105552629795,458.13228804985215,470.79127916892037,555.6185948346862,555.6185948346862,555.6185948346862,571.8454279121798,572.6727506228839
KR,EG,KE,,585.2860760863443,-2.43741156983138,444.9100133083595,462.45700225431716,462.45700225431716,480.00400920388773,585.2860760863443,585.2860760863443,585.2860760863443,585.2860760863443,585.2860760863443
KR,EG,PE,,607.3430023141501,15.053638714432683,462.7340865107365,480.90727805969533,480.90727805969533,499.08367569786503,589.8519967772099,589.8519967772099,607.3430023141501,607.3430023141501,608.1452305844751
KR,KE,,,328.2781763637721,42.48805370291136,212.1738079310125,228.82803123766206,228.82803123766206,245.48277981162573,312.10048744344135,312.10048744344135,312.10048744344135,328.2781763637721,328.7568320737919
KR,LA,,,322.75008043752916,29.61606318199744,208.6887875530419,224.98325084359635,224.98325084359635,241.2777224386289,290.4750639975865,306.455608840957,306.455608840957,322.75008043752916,322.75008043757794
KR,PE,,,351.6153974509192,26.344837881306145,230.00234503298137,246.1311762952031,247.37561432907737,264.74910238693343,316.86902301023525,334.2423490854687,334.2423490854687,351.6153974509192,351.61598657192275
KR,TH,,,587.7918153875124,23.5073481245741,409.8702638388008,432.1104572398233,432.1104572398233,468.948704855687,543.3114273544522,565.551621364472,565.551621364472,587.7918153875124,587.7918153877836
KR,TH,LA,,594.3983892149072,23.45413623243513,414.45852949495674,436.95101068635495,436.95101068635495,474.23394714945664,549.4134239150366,571.9059065650416,571.9059065650416,594.3983892149072,594.3983892150301
KR,TH,VN,,940.3715473166803,20.325558496092786,679.8867683989426,711.4378768681404,744.1439768453748,776.8487545629682,874.9672940339498,907.6483214516328,907.6483214516328,940.3715473166803,940.3808751116856
KR,VN,LA,,675.3342913001915,21.932186117383505,478.4734628911251,502.27377860634806,526.9965699938987,551.7204304941646,625.8910368998158,650.6126296216206,650.6126296216206,675.3342913001915,675.33914016148
LA,,,,6.606573827246515,18.71995284718102,4.589907232397119,4.876594684247557,4.876594684247557,5.453254398580139,6.029914112954928,6.318243970137855,6.606573827246515,6.606573827246515,6.606573827246515
LA,KH,,,31.35848451023533,51.0368585486687,20.36629678244794,21.936606511565273,21.95091312177245,23.50691951183243,26.647545510734442,28.222627379839004,28.222627379839004,29.788171510577747,31.35848451023533
LA,TH,,,278.25488260469865,16.194322087119673,210.35809275391887,218.84512449608565,227.33223117825574,244.3064481464694,269.7677739898844,269.7677739898844,278.25488260469865,278.25488260469865,278.25488260469865
MA,,,,80.92723675651123,-15.827041377628467,70.61791952651177,71.76339921651157,72.90887890984483,75.1998382965113,80.92723675651123,80.92723675651123,80.92723675651123,80.92723675651123,80.92723675651165
MA,KE,,,93.5266866559276,-15.528145129911284,78.69162262984975,80.34164878024765,81.99141604913711,84.18652174310455,93.5266866559276,93.5266866559276,93.5266866559276,93.5266866559276,93.54056221997209
MA,KE,EG,NG,638.6104578602285,-15.622634297478312,529.0411334051571,541.2219179995855,553.4100004844192,565.6151714731275,638.6104578602285,638.6104578602285,638.6104578602285,638.6104578602285,638.8191313428727
MY,,,,189.84458114320103,25.231611186898217,94.29569340880866,132.51500117182835,151.62486114949763,151.87565780947645,151.87565780947645,170.86011940353418,170.86011940353418,189.84458114320103,189.84458114320103
MY,PH,,,375.6901749622465,23.742552035800053,227.4343205331251,263.0235083997479,290.9724606831656,312.15188937046696,338.12070776239153,354.5107464118954,354.5107464118954,375.6901749622465,375.6901749622465
NG,,,,288.74870302663317,22.444304648604394,217.73984218996233,226.5099788138328,230.99928842665278,244.29217406953,279.85774142238074,279.85774142238074,279.85774142238074,288.74870302663317,288.7493251103481
NG,KE,,,301.3421586489927,19.85992873882561,225.69068598865223,225.69068598865223,235.15055928663853,244.6083541019835,291.89337482655645,291.89337482655645,301.3421586489927,301.3421586489927,301.36265057380854
NG,MA,,,369.66386905327073,13.836600211343175,288.23586473473546,295.7408727809319,298.4163230128102,318.77527072796295,359.4597007388487,359.4597007388487,369.66386905327073,369.66386905327073,369.67656186685974
NG,MA,KE,,382.2683430121958,12.553893459097933,296.3090299148642,305.83009153163783,307.0568586497452,328.5509445473144,371.4845129749876,371.4845129749876,382.2683430121958,382.2683430121958,382.2898873303202
PE,,,,35.472479961590096,-4.262837252821624,25.901837698259964,27.0981679815913,27.0981679815913,28.377983968257958,35.472479961590096,35.472479961590096,35.472479961590096,35.472479961590096,35.472479961591304
PE,CL,,,94.91461398447306,-47.01783312478298,82.84541701447587,84.18643890114122,84.18643890114122,86.86848267114141,94.91461398447306,94.91461398447306,94.91461398447306,94.91461398447306,94.91461398447476
PH,,,,185.84559381904543,22.22145692503995,133.17892891706182,139.72723293583573,146.31556881965105,152.90390632585823,172.66891884694812,179.2572563407463,179.2572563407463,185.84559381904543,185.84559381904543
SG,,,,3.028120874041086,28.752177685107608,0.3599804987592137,0.3599804987592137,0.3599804987592137,3.028120874041086,0.7567734925064542,1.135331285728249,1.5138891720587466,3.028120874041086,37.85544922638219
SG,BN,,,8.890694784292258,21.154150560862906,2.4674596095181087,2.4674596095181087,4.445176153530376,8.890694784292258,4.445176153530376,4.445176153530376,4.445176153530376,8.890694784292258,44.45484377699904
SG,BN,TH,,269.8748859921375,-4.131328477363648,208.23737678591127,219.34498395870568,223.6466196521951,239.05604157496072,269.8748859921375,269.8748859921375,269.8748859921375,269.8748859921375,316.1031525544512
SG,ID,,,754.5072673457761,2.5736325041116555,577.698787589977,607.1362582153737,607.1362582153737,666.084649379031,732.1093607253879,754.5072673457761,754.5072673457761,754.5072673457761,813.4556845446778
SG,ID,BN,,819.5265819100772,30.432491823531468,580.6779513384708,609.8033162248255,609.8033162248255,669.8737430256294,738.0404952247777,759.9629348651753,759.9629348651753,819.5265819100772,820.0550790952946
SG,ID,BN,TH,1091.22168343052,27.424241563202845,786.0960075045062,823.8076861191648,823.8076861191648,900.3409394001751,1015.1458916438132,1015.1458916438132,1015.1458916438132,1091.22168343052,1091.7033878727466
SG,ID,MY,,955.9655557797279,13.082822048636588,671.9904020275449,719.2920686538246,766.6267367587934,813.9614316692105,908.6308461439567,908.6308461439567,955.9655557797279,955.9655557797279,1003.3002656878788
SG,ID,MY,PH,1134.2816210673193,10.25802244055211,805.8134327612923,859.9604758799657,914.8246795531076,969.6889100513092,1079.41738274339,1079.41738274339,1134.2816210673193,1134.2816210673193,1189.1458595069241
SG,ID,PH,,963.2387322569135,22.223663972287582,710.6415524032137,746.8634945566073,782.9260136615942,818.9885535733342,899.3699490107526,927.1761860541446,927.1761860541446,963.2387322569135,999.3012783637232
SG,MY,,,182.1599486195951,7.581454677792728,94.70019324672614,121.26421462523716,147.87316855206114,159.38990772426007,159.38990772426007,182.1599486195951,182.1599486195951,182.1599486195951,227.7000303695832
SG,MY,PH,,372.19057784268404,12.7263176193938,227.8791092529729,258.75273307330383,289.7113112736811,320.66988924239666,330.8355313518771,351.628467588469,372.19057784268404,372.19057784268404,413.5456241886286
SG,PH,,,178.95987369887743,2.55478666090652,133.49886128070187,134.36771022507727,148.53256809704678,156.58928901245878,163.56626305890026,178.95987369887743,178.95987369887743,178.95987369887743,223.70104304542764
TH,,,,271.64830877745214,16.132913839227577,205.7697447980671,214.00456879932347,222.23938887377335,238.7090292743616,263.4134888017277,263.4134888017277,271.64830877745214,271.64830877745214,271.64830877745214
TH,VN,LA,,630.8439423286007,15.554315786427958,479.22046724091365,498.17263264455573,517.1256738995415,555.0317630437278,611.8908974787388,611.8908974787388,630.8439423286007,630.8439423286007,630.8439423286007
TH,VN,LA,KR,946.9795655764344,20.302847970385944,684.2038478868233,716.2782333899372,749.2364817397871,782.1947753593645,881.0643980509935,913.998256099706,913.998256099706,946.9795655764344,946.9874489389322
VN,,,,352.58905972390204,15.049280089918518,268.92267647527933,281.9223956867655,289.79344398686385,310.7253149340636,342.12312349980084,342.12312349980084,352.58905972390204,352.58905972390204,352.58905972390204
VN,KH,,,377.34097040689085,17.975690821805262,284.6400890350098,296.227271344081,307.814941784298,319.402613047061,354.16562745720927,365.75329892011,377.34097040689085,377.34097040689085,377.34097040689085
VN,KR,,,668.7240998977855,22.030382936972355,473.69127307918325,497.4333861575159,521.904692413939,546.3756755751062,619.7889297039808,644.2351406137857,644.2351406137857,668.7240998977855,668.7325663342335
VN,LA,,,359.19563355114855,15.116756845943904,273.45040425011985,287.35640720591175,294.88628476816496,316.3227341088065,348.4774086970142,348.4774086970142,359.19563355114855,359.19563355114855,359.19563355114855
VN,TH,,,624.2373685013542,15.520829561748142,474.6323009217046,493.33207882214845,512.0328316963128,549.4343438502517,605.5366122807071,605.5366122807071,624.2373685013542,624.2373685013542,624.2373685013542
ZA,,,,254.3578378665192,-11.123001099705574,220.56282683842676,224.31684640822903,228.9246646956819,239.33619609805595,254.3578378665192,254.3578378665192,254.3578378665192,254.3578378665192,254.36128686862455
ZA,EG,,,510.84564679448596,-20.020400483031064,453.29333124369043,459.79321576928044,466.08249685735416,478.82577297338156,510.84564679448596,510.84564679448596,510.84564679448596,510.84564679448596,510.890530881177
ZA,EG,KE,,523.4475191336064,-20.880383201742482,461.36737763654537,471.1470719268731,475.15837175424946,488.9291014590521,523.4475191336064,523.4475191336064,523.4475191336064,523.4475191336064,523.5038563446375
ZA,EG,NG,,799.4151562088148,-11.04068157613995,685.1691533929413,685.1691533929413,699.4711484825082,719.598187799505,799.4151562088148,799.4151562088148,799.4151562088148,799.4151562088148,799.6398559915251
ZA,KE,,,266.974612332085,-9.442844389557097,228.63779469797913,232.8974328944108,237.15707812232566,249.93602078559815,266.974612332085,266.974612332085,266.974612332085,266.974612332085,266.974612332085
ZA,NG,,,542.9542040754956,2.688353508864599,438.17896761214797,449.83573316262124,461.47791882789284,473.1340547288342,531.1648202898833,542.9542040754956,542.9542040754956,542.9542040754956,543.1106119789727
ZA,NG,KE,,555.5564487657866,1.5269600267567527,446.25417660116676,458.39649669482617,458.39649669482617,494.8964323971189,543.1949032373883,555.5564487657866,555.5564487657866,555.5564487657866,555.7239374424331
