country_1,country_2,country_3,country_4,emissions,cost
ZA,EG,KE,,41.5,32.0
ZA,EG,KE,,34.6,32.2
ZA,EG,KE,,27.6,32.8
ZA,EG,KE,,20.8,33.5
ZA,EG,KE,,14.0,34.5
ZA,EG,KE,,7.4,36.5
ZA,EG,KE,,0.1,40.5
ZA,EG,NG,,128.7,53.3
ZA,EG,NG,,114.5,53.2
ZA,EG,NG,,100.2,53.5
ZA,EG,NG,,85.9,53.9
ZA,EG,NG,,80.0,54.2
ZA,EG,NG,,71.5,54.8
ZA,EG,NG,,57.3,56.0
ZA,EG,NG,,43.1,57.8
ZA,EG,NG,,29.0,60.8
ZA,EG,NG,,14.9,65.6
ZA,EG,NG,,0.2,73.6
ZA,KE,,,38.3,14.0
ZA,KE,,,34.1,14.1
ZA,KE,,,29.8,14.1
ZA,KE,,,26.7,14.2
ZA,KE,,,25.6,14.2
ZA,KE,,,21.3,14.3
ZA,KE,,,17.0,14.5
ZA,KE,,,12.8,14.9
ZA,KE,,,8.5,15.6
ZA,KE,,,4.3,16.8
ZA,KE,,,0.0,20.7
ZA,NG,,,104.9,37.8
ZA,NG,,,93.3,37.8
ZA,NG,,,81.6,38.0
ZA,NG,,,70.0,38.3
ZA,NG,,,58.3,38.9
ZA,NG,,,54.3,39.2
ZA,NG,,,46.6,39.9
ZA,NG,,,35.1,41.5
ZA,NG,,,23.4,44.1
ZA,NG,,,11.9,48.2
ZA,NG,,,0.2,55.7
ZA,NG,KE,,109.5,40.4
ZA,NG,KE,,97.3,40.5
ZA,NG,KE,,85.1,40.7
ZA,NG,KE,,73.0,41.1
ZA,NG,KE,,60.8,41.7
ZA,NG,KE,,55.6,42.2
ZA,NG,KE,,48.7,42.8
ZA,NG,KE,,36.6,44.5
ZA,NG,KE,,24.4,47.3
ZA,NG,KE,,12.5,51.4
ZA,NG,KE,,0.2,59.5
